Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
female,0,1,0,1,0,dsl,0,0,0,month-to-month,electronic check,29.85,29.85,0
male,0,0,0,34,1,dsl,1,0,0,one year,mailed check,56.95,1889.5,0
male,0,0,0,2,1,dsl,1,0,0,month-to-month,mailed check,53.85,108.15,1
male,0,0,0,45,0,dsl,1,1,0,one year,bank transfer (automatic),71.45,1840.75,0
female,0,0,0,52,1,no,0,0,0,one year,mailed check,71.45,1022.95,0
male,0,0,1,71,1,fiber optic,1,0,1,two year,bank transfer (automatic),71.45,7382.25,0
female,0,1,1,10,1,dsl,0,1,0,month-to-month,credit card (automatic),71.45,528.35,1
female,0,0,0,21,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1862.9,0
male,1,0,0,1,0,dsl,0,0,0,month-to-month,electronic check,71.45,39.65,1
male,0,1,0,12,1,no,0,0,0,one year,bank transfer (automatic),71.45,202.25,0
male,0,0,0,1,1,no,0,0,0,month-to-month,mailed check,71.45,20.15,1
female,0,1,0,58,1,dsl,0,1,0,two year,credit card (automatic),71.45,3505.1,0
male,0,1,1,49,1,dsl,1,1,0,month-to-month,credit card (automatic),71.45,2970.3,0
female,0,0,0,30,1,dsl,1,0,0,month-to-month,bank transfer (automatic),71.45,1530.6,0
male,0,1,1,47,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,4749.15,1
male,0,1,1,1,0,dsl,0,0,0,month-to-month,electronic check,71.45,30.2,1
male,0,1,0,72,1,dsl,1,1,1,two year,credit card (automatic),71.45,6369.45,0
female,0,0,1,17,1,dsl,0,0,1,month-to-month,mailed check,71.45,1093.1,1
female,1,1,0,71,1,fiber optic,1,1,0,two year,credit card (automatic),71.45,6766.95,0
male,1,1,0,2,1,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,181.65,0
female,0,1,1,27,1,dsl,1,1,0,one year,mailed check,71.45,1874.45,0
